,time,weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,capital_cities
35,2021-11-20,3,12.4,8.0,8.3,4.7,2021-11-20T07:07,2021-11-20T16:12,0.0,0,19.9,28.8,286,5.43,Vienna
36,2021-11-12,3,12.1,9.4,9.3,4.8,2021-11-12T04:19,2021-11-12T14:26,0.24,10,31.9,2.6,243,7.79,Baku
37,2021-11-13,2,13.7,10.7,12.0,4.8,2021-11-13T04:20,2021-11-13T14:25,0.0,0,39.4,10.2,248,10.44,Baku
38,2021-11-14,3,13.2,11.9,9.9,8.0,2021-11-14T04:22,2021-11-14T14:24,0.0,0,28.5,12.9,36,8.68,Baku
39,2021-11-15,3,14.8,12.3,12.2,6.0,2021-11-15T04:23,2021-11-15T14:23,0.13,5,42.0,16.4,263,4.67,Baku
40,2021-11-16,3,11.9,8.1,3.6,-3.2,2021-11-16T04:24,2021-11-16T14:23,0.15,5,73.5,46.7,353,3.8,Baku
41,2021-11-17,3,12.1,8.0,8.3,2.5,2021-11-17T04:25,2021-11-17T14:22,0.62,13,26.1,3.3,201,5.16,Baku
42,2021-11-18,80,12.9,11.7,11.2,6.0,2021-11-18T04:26,2021-11-18T14:21,1.35,12,41.4,10.7,149,4.03,Baku
43,2021-11-19,3,13.0,11.9,9.7,5.8,2021-11-19T04:27,2021-11-19T14:20,0.21,3,35.7,22.1,190,6.12,Baku
44,2021-11-20,3,13.9,11.6,9.8,6.6,2021-11-20T04:28,2021-11-20T14:20,0.0,0,36.8,26.4,246,9.8,Baku
45,2021-11-12,51,7.9,2.5,3.8,-0.1,2021-11-12T06:29,2021-11-12T15:18,0.1,3,17.7,14.7,286,4.23,Minsk
46,2021-11-13,45,2.4,-1.8,-0.3,-4.5,2021-11-13T06:31,2021-11-13T15:16,0.0,0,11.7,5.2,126,2.83,Minsk
47,2021-11-14,3,2.8,0.6,0.2,-2.8,2021-11-14T06:33,2021-11-14T15:14,0.05,1,10.3,11.7,106,1.5,Minsk
48,2021-11-15,3,2.0,-3.1,-1.3,-7.0,2021-11-15T06:35,2021-11-15T15:13,0.0,0,10.1,16.9,89,3.54,Minsk
49,2021-11-16,3,-0.1,-3.5,-3.8,-7.4,2021-11-16T06:37,2021-11-16T15:11,0.0,0,10.4,16.0,189,1.61,Minsk
50,2021-11-17,48,-0.2,-2.9,-3.9,-6.7,2021-11-17T06:39,2021-11-17T15:10,0.0,0,11.2,11.7,181,1.96,Minsk
51,2021-11-18,61,5.4,-0.7,1.5,-4.6,2021-11-18T06:41,2021-11-18T15:08,0.63,9,14.1,26.7,226,1.78,Minsk
52,2021-11-19,80,5.2,1.8,1.1,-2.5,2021-11-19T06:42,2021-11-19T15:07,1.74,12,19.7,26.2,271,1.76,Minsk
53,2021-11-20,80,7.8,1.5,2.8,-2.1,2021-11-20T06:44,2021-11-20T15:06,1.44,15,25.8,22.5,277,1.16,Minsk
54,2021-11-12,45,11.0,2.8,7.8,-0.1,2021-11-12T07:51,2021-11-12T17:01,0.05,3,17.1,5.4,200,5.45,Brussels
55,2021-11-13,80,11.6,9.1,10.2,5.6,2021-11-13T07:53,2021-11-13T17:00,5.96,23,19.3,13.6,245,0.96,Brussels
