,country,country_code,capital_cities,lat,long,daily_url,hourly_url
38,Romania,ro,Bucharest,44.4361414,26.1027202,"https://api.open-meteo.com/v1/forecast?latitude=44.4361414&longitude=26.1027202&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=44.4361414&longitude=26.1027202&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
39,Russia,ru,Moscow,55.7504461,37.6174943,"https://api.open-meteo.com/v1/forecast?latitude=55.7504461&longitude=37.6174943&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=55.7504461&longitude=37.6174943&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
40,San Marino,sm,San Marino,43.9458623,12.458306,"https://api.open-meteo.com/v1/forecast?latitude=43.9458623&longitude=12.458306&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=43.9458623&longitude=12.458306&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
41,Serbia,rs,Belgrade,44.8178131,20.4568974,"https://api.open-meteo.com/v1/forecast?latitude=44.8178131&longitude=20.4568974&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=44.8178131&longitude=20.4568974&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
42,Slovakia,sk,Bratislava,48.1516988,17.1093063,"https://api.open-meteo.com/v1/forecast?latitude=48.1516988&longitude=17.1093063&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=48.1516988&longitude=17.1093063&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
43,Slovenia,si,Ljubljana,46.0499803,14.5068602,"https://api.open-meteo.com/v1/forecast?latitude=46.0499803&longitude=14.5068602&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=46.0499803&longitude=14.5068602&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
44,Spain,es,Madrid,40.4167047,-3.7035825,"https://api.open-meteo.com/v1/forecast?latitude=40.4167047&longitude=-3.7035825&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=40.4167047&longitude=-3.7035825&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
45,Sweden,se,Stockholm,59.3251172,18.0710935,"https://api.open-meteo.com/v1/forecast?latitude=59.3251172&longitude=18.0710935&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=59.3251172&longitude=18.0710935&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
46,Switzerland,ch,Bern,46.9482713,7.4514512,"https://api.open-meteo.com/v1/forecast?latitude=46.9482713&longitude=7.4514512&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=46.9482713&longitude=7.4514512&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
47,Turkey,tr,Ankara,39.9207886,32.8540482,"https://api.open-meteo.com/v1/forecast?latitude=39.9207886&longitude=32.8540482&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=39.9207886&longitude=32.8540482&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
48,Ukraine,ua,Kiev,50.4500336,30.5241361,"https://api.open-meteo.com/v1/forecast?latitude=50.4500336&longitude=30.5241361&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=50.4500336&longitude=30.5241361&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
49,United Kingdom,gb,London,51.5073219,-0.1276474,"https://api.open-meteo.com/v1/forecast?latitude=51.5073219&longitude=-0.1276474&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=51.5073219&longitude=-0.1276474&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
50,,,Vatican City,41.9034912,12.4528349,"https://api.open-meteo.com/v1/forecast?latitude=41.9034912&longitude=12.4528349&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=41.9034912&longitude=12.4528349&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
